data_type,value,date,week_number_year,month_year
se_all,45,01-05-2019,17 2019,May 2019
se_all,76,02-05-2019,17 2019,May 2019
se_all,73,03-05-2019,17 2019,May 2019
se_all,55,04-05-2019,17 2019,May 2019
se_all,56,05-05-2019,17 2019,May 2019
se_all,54,06-05-2019,18 2019,May 2019
se_all,67,07-05-2019,18 2019,May 2019
se_all,62,08-05-2019,18 2019,May 2019
se_all,37,09-05-2019,18 2019,May 2019
se_all,48,10-05-2019,18 2019,May 2019
se_all,51,11-05-2019,18 2019,May 2019
se_all,72,12-05-2019,18 2019,May 2019
se_all,82,13-05-2019,19 2019,May 2019
se_all,68,14-05-2019,19 2019,May 2019
se_all,65,15-05-2019,19 2019,May 2019
se_all,82,16-05-2019,19 2019,May 2019
se_all,85,17-05-2019,19 2019,May 2019
se_all,68,18-05-2019,19 2019,May 2019
se_all,71,19-05-2019,19 2019,May 2019
se_all,85,20-05-2019,20 2019,May 2019
se_all,82,21-05-2019,20 2019,May 2019
se_all,72,22-05-2019,20 2019,May 2019
se_all,61,23-05-2019,20 2019,May 2019
se_all,53,24-05-2019,20 2019,May 2019
se_all,57,25-05-2019,20 2019,May 2019
se_all,77,26-05-2019,20 2019,May 2019
se_all,74,27-05-2019,21 2019,May 2019
se_all,81,28-05-2019,21 2019,May 2019
se_all,59,29-05-2019,21 2019,May 2019
se_all,59,30-05-2019,21 2019,May 2019
se_all,75,31-05-2019,21 2019,May 2019
se_all,48,01-06-2019,21 2019,June 2019
se_all,56,02-06-2019,21 2019,June 2019
se_all,80,03-06-2019,22 2019,June 2019
se_all,64,04-06-2019,22 2019,June 2019
se_all,72,05-06-2019,22 2019,June 2019
se_all,70,06-06-2019,22 2019,June 2019
se_all,53,07-06-2019,22 2019,June 2019
se_all,41,08-06-2019,22 2019,June 2019
se_all,41,09-06-2019,22 2019,June 2019
se_all,81,10-06-2019,23 2019,June 2019
se_all,65,11-06-2019,23 2019,June 2019
se_all,77,12-06-2019,23 2019,June 2019
se_all,76,13-06-2019,23 2019,June 2019
